"","year","totalC_estimate_from_growthFunc_ton","upp95CI_totalC_estimate_from_growthFunc_ton","low95CI_totalC_estimate_from_growthFunc_ton","totalC_estimate_from_uppGrowthFunc_ton","upp95CI_totalC_estimate_from_uppGrowthFunc_ton","low95CI_totalC_estimate_from_uppGrowthFunc_ton","totalC_estimate_from_lowGrowthFunc_ton","upp95CI_totalC_estimate_from_lowGrowthFunc_ton","low95CI_totalC_estimate_from_lowGrowthFunc_ton"
"carbon2017TropHum",2017,2157.78126605693,1679.4638136131,2636.09871850075,2779.89368859573,2177.87428334045,3381.91309385101,1376.54847116514,1062.41601920377,1690.6809231265
"carbon2018TropHum",2018,2219.99884028474,1745.00262910552,2694.99505146395,2886.01375689555,2290.21179662072,3481.81571717039,1389.78749218988,1077.15226202587,1702.42272235389
"carbon2019TropHum",2019,2300.26965828646,1831.66406460232,2768.8752519706,3011.66983435442,2425.45360904732,3597.88605966152,1416.36148964368,1107.23269944361,1725.49027984374
"carbon2020TropHum",2020,2395.44492389342,1935.7116921904,2855.17815559644,3149.71923400639,2575.21617552436,3724.22229248842,1461.59128091013,1158.63615460339,1764.54640721687
"carbon2021TropHum",2021,2428.87752465685,1979.21132785867,2878.54372145504,3199.67549406143,2636.53016614261,3762.82082198024,1482.63135195351,1188.79728437054,1776.46541953647
