"","year","totalC_estimate_from_growthFunc_ton","upp95CI_totalC_estimate_from_growthFunc_ton","low95CI_totalC_estimate_from_growthFunc_ton","totalC_estimate_from_uppGrowthFunc_ton","upp95CI_totalC_estimate_from_uppGrowthFunc_ton","low95CI_totalC_estimate_from_uppGrowthFunc_ton","totalC_estimate_from_lowGrowthFunc_ton","upp95CI_totalC_estimate_from_lowGrowthFunc_ton","low95CI_totalC_estimate_from_lowGrowthFunc_ton"
"carbon2017TropHum",2017,1805.14573479832,1086.21514849292,2524.07632110371,2376.00915655749,1455.74697749766,3296.27133561731,1092.47464062129,640.508224425963,1544.44105681662
"carbon2018TropHum",2018,1862.67828680058,1150.74072853463,2574.61584506652,2472.28522628174,1562.23129436741,3382.33915819608,1107.49250029186,658.343509768014,1556.64149081572
"carbon2019TropHum",2019,1936.86830324451,1234.37022116291,2639.3663853261,2584.97814419242,1687.17684470922,3482.77944367562,1138.17192815035,694.614761873238,1581.72909442746
"carbon2020TropHum",2020,2024.49537757552,1333.00844743104,2715.98230772,2708.26950424626,1823.54068967765,3592.99831881487,1188.60266067536,753.605022187704,1623.60029916302
"carbon2021TropHum",2021,2106.76140186572,1427.00071912407,2786.52208460737,2817.6865035498,1945.97698379333,3689.39602330628,1250.29735915686,826.208956728128,1674.38576158558
