"","year","totalC_estimate_from_growthFunc_ton","low95CI_totalC_estimate_from_growthFunc_ton","upp95CI_totalC_estimate_from_growthFunc_ton"
"carbon2017TropHum",2017,381.978276101076,137.449964269553,626.506587932598
"carbon2018TropHum",2018,396.584448388789,154.51098546805,638.657911309528
"carbon2019TropHum",2019,416.238355205865,178.691621773288,653.785088638441
"carbon2020TropHum",2020,440.047116617931,208.769685892879,671.324547342983
"carbon2021TropHum",2021,467.049965236802,243.425438418859,690.674492054744
