"","year","totalC_estimate_from_growthFunc_ton","upp95CI_totalC_estimate_from_growthFunc_ton","low95CI_totalC_estimate_from_growthFunc_ton"
"carbon2017TropHum",2017,1720.19906930033,1320.43402872971,2119.96410987095
"carbon2018TropHum",2018,1764.5906455689,1367.95076836978,2161.23052276802
"carbon2019TropHum",2019,1821.2014883398,1430.42850037287,2211.97447630673
"carbon2020TropHum",2020,1887.94818312634,1505.30908271557,2270.58728353711
"carbon2021TropHum",2021,1891.93393407569,1516.83374518154,2267.03412296983
