"","year","totalC_estimate_from_growthFunc_ton","upp95CI_totalC_estimate_from_growthFunc_ton","low95CI_totalC_estimate_from_growthFunc_ton"
"carbon2017TropHum",2017,99.3236855545512,43.1270527398524,155.52031836925
"carbon2018TropHum",2018,75.2351857199812,22.3382219350807,128.132149504882
"carbon2019TropHum",2019,76.3954141138829,23.3349881675099,129.455840060256
"carbon2020TropHum",2020,52.6131155962254,6.20811310269026,99.0181180897605
"carbon2021TropHum",2021,3.39418602917833,0.258175763583334,6.53019629477332
