"","year","totalC_estimate_from_growthFunc_ton","upp95CI_totalC_estimate_from_growthFunc_ton","low95CI_totalC_estimate_from_growthFunc_ton"
"carbon2017TropHum",2017,78.9608179881561,-51.7136146994073,209.635250675719
"carbon2018TropHum",2018,84.3125622301388,-44.5458745278082,213.170998988086
"carbon2019TropHum",2019,91.2543818599365,-34.7436941959605,217.252457915833
"carbon2020TropHum",2020,99.4601788913824,-22.8263339995795,221.746691782344
"carbon2021TropHum",2021,108.612821063289,-9.30153055010486,226.527172676682
